time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6
0.076,0.117953191,0.008367551,-0.031476777,-0.024053928,-1.86E-06,-5.56E-06,,3.485597049,0.247266838,-0.930160191,-0.710809951,-5.50E-05,-0.000164276,,-1.568177255,-1.570610531,1.570097406,-1.571330429,-1.570796368,-1.23E-07
0.078,0.12501968,0.008868845,-0.033362528,-0.025494982,-1.97E-06,-5.89E-06,,3.533244538,0.250646931,-0.942875314,-0.720526596,-5.57E-05,-0.000166521,,-1.567927215,-1.570592793,1.570030681,-1.571381419,-1.570796372,-1.35E-07
0.08,0.132166803,0.009375859,-0.035269797,-0.026952478,-2.08E-06,-6.23E-06,,3.573561643,0.25350701,-0.953634265,-0.728748373,-5.63E-05,-0.000168421,,-1.567662882,-1.570574042,1.569960141,-1.571435323,-1.570796376,-1.48E-07
0.082,0.1393799,0.009887553,-0.037194671,-0.028423429,-2.20E-06,-6.57E-06,,3.606548366,0.255847075,-0.962437043,-0.735475281,-5.69E-05,-0.000169976,,-1.567384122,-1.570554267,1.569885752,-1.57149217,-1.570796381,-1.61E-07
0.084,0.146644309,0.010402888,-0.039133238,-0.029904843,-2.31E-06,-6.91E-06,,3.632204706,0.257667126,-0.969283648,-0.74070732,-5.73E-05,-0.000171185,,-1.567090833,-1.570533461,1.569807486,-1.57155198,-1.570796385,-1.75E-07
0.086,0.15394537,0.010920822,-0.041081586,-0.031393732,-2.43E-06,-7.26E-06,,3.650530663,0.258967161,-0.97417408,-0.744444491,-5.76E-05,-0.000172049,,-1.566782942,-1.570511619,1.569725322,-1.571614767,-1.57079639,-1.89E-07
0.088,0.161268423,0.011440316,-0.043035803,-0.032887106,-2.54E-06,-7.60E-06,,3.661526238,0.259747183,-0.977108339,-0.746686794,-5.77E-05,-0.000172567,,-1.566460406,-1.570488738,1.569639251,-1.571680542,-1.570796395,-2.04E-07
0.09,0.168598806,0.011960331,-0.044991976,-0.034381975,-2.66E-06,-7.95E-06,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.566123208,-1.570464818,1.569549267,-1.571749306,-1.570796401,-2.20E-07
0.092,0.175929189,0.012480345,-0.046948148,-0.035876843,-2.77E-06,-8.29E-06,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.56577135,-1.570439857,1.569455371,-1.571821059,-1.570796406,-2.37E-07
0.094,0.183259571,0.01300036,-0.048904321,-0.037371711,-2.89E-06,-8.64E-06,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.56540483,-1.570413856,1.569357562,-1.571895803,-1.570796412,-2.54E-07
0.096,0.190589954,0.013520374,-0.050860494,-0.03886658,-3.00E-06,-8.98E-06,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.565023651,-1.570386816,1.569255841,-1.571973536,-1.570796418,-2.72E-07
0.098,0.197920337,0.014040388,-0.052816667,-0.040361448,-3.12E-06,-9.33E-06,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.56462781,-1.570358735,1.569150208,-1.572054259,-1.570796424,-2.91E-07
0.1,0.20525072,0.014560403,-0.05477284,-0.041856317,-3.24E-06,-9.67E-06,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.564217308,-1.570329614,1.569040662,-1.572137971,-1.570796431,-3.10E-07
0.102,0.212581103,0.015080417,-0.056729013,-0.043351185,-3.35E-06,-1.00E-05,,3.665191429,0.26000719,-0.978086425,-0.747434228,-5.78E-05,-0.00017274,,-1.563792146,-1.570299453,1.568927204,-1.572224674,-1.570796437,-3.30E-07
0.104,0.219911486,0.015600431,-0.058685186,-0.044846054,-3.47E-06,-1.04E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.563352323,-1.570268252,1.568809833,-1.572314366,-1.570796444,-3.51E-07
0.106,0.227241869,0.016120446,-0.060641358,-0.046340922,-3.58E-06,-1.07E-05,,3.665191429,0.26000719,-0.978086426,-0.747434228,-5.78E-05,-0.00017274,,-1.562897839,-1.570236012,1.568688551,-1.572407048,-1.570796452,-3.72E-07
