time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6
0.072,0.104120758,0.005189367,-0.019664537,-0.014917705,-1.15E-06,-3.45E-06,,3.368310924,0.167876248,-0.636148594,-0.482588399,-3.73E-05,-0.000111531,,-1.568843366,-1.570698992,1.570427485,-1.571076134,-1.570796349,-6.47E-08
0.074,0.110981996,0.005531331,-0.020960369,-0.015900736,-1.23E-06,-3.67E-06,,3.430619178,0.170981684,-0.647916304,-0.491515497,-3.80E-05,-0.000113594,,-1.568635125,-1.570688613,1.570388156,-1.571105969,-1.570796351,-7.16E-08
0.076,0.117953191,0.005878774,-0.022276968,-0.016899521,-1.31E-06,-3.91E-06,,3.485597049,0.173721775,-0.658299578,-0.499392348,-3.86E-05,-0.000115415,,-1.568413161,-1.57067755,1.570346236,-1.571137771,-1.570796353,-7.89E-08
0.078,0.12501968,0.006230967,-0.023611565,-0.017911959,-1.38E-06,-4.14E-06,,3.533244538,0.176096521,-0.667298416,-0.506218952,-3.91E-05,-0.000116992,,-1.568177255,-1.570665793,1.570301682,-1.57117157,-1.570796356,-8.67E-08
0.08,0.132166803,0.006587179,-0.024961391,-0.01893595,-1.46E-06,-4.38E-06,,3.573561643,0.178105921,-0.674912817,-0.511995309,-3.96E-05,-0.000118327,,-1.567927215,-1.570653331,1.570254459,-1.571207394,-1.570796359,-9.50E-08
0.082,0.1393799,0.006946679,-0.026323677,-0.019969392,-1.54E-06,-4.62E-06,,3.606548366,0.179749976,-0.681142781,-0.51672142,-4.00E-05,-0.00011942,,-1.567662882,-1.570640156,1.570204536,-1.571245265,-1.570796362,-1.04E-07
0.084,0.146644309,0.007308736,-0.027695653,-0.021010187,-1.62E-06,-4.86E-06,,3.632204706,0.181028685,-0.685988309,-0.520397283,-4.02E-05,-0.000120269,,-1.567384122,-1.570626263,1.570151888,-1.571285204,-1.570796365,-1.13E-07
0.086,0.15394537,0.00767262,-0.029074552,-0.022056233,-1.71E-06,-5.10E-06,,3.650530663,0.181942049,-0.689449401,-0.5230229,-4.04E-05,-0.000120876,,-1.567090833,-1.570611646,1.570096497,-1.571327225,-1.570796368,-1.23E-07
0.088,0.161268423,0.008037601,-0.030457604,-0.023105429,-1.79E-06,-5.34E-06,,3.661526238,0.182490067,-0.691526056,-0.524598271,-4.06E-05,-0.00012124,,-1.566782942,-1.5705963,1.570038348,-1.571371337,-1.570796371,-1.33E-07
0.09,0.168598806,0.008402946,-0.031842041,-0.024155676,-1.87E-06,-5.58E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.566460406,-1.570580225,1.569977433,-1.571417548,-1.570796375,-1.44E-07
0.092,0.175929189,0.008768292,-0.033226477,-0.025205923,-1.95E-06,-5.83E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.566123208,-1.570563419,1.569913749,-1.571465859,-1.570796379,-1.55E-07
0.094,0.183259571,0.009133637,-0.034610914,-0.02625617,-2.03E-06,-6.07E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.56577135,-1.570545883,1.569847296,-1.571516271,-1.570796383,-1.66E-07
0.096,0.190589954,0.009498982,-0.03599535,-0.027306416,-2.11E-06,-6.31E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.56540483,-1.570527615,1.569778074,-1.571568784,-1.570796387,-1.79E-07
0.098,0.197920337,0.009864328,-0.037379787,-0.028356663,-2.19E-06,-6.55E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.565023651,-1.570508617,1.569706083,-1.571623396,-1.570796391,-1.91E-07
0.1,0.20525072,0.010229673,-0.038764223,-0.02940691,-2.27E-06,-6.80E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.56462781,-1.570488889,1.569631324,-1.57168011,-1.570796395,-2.04E-07
0.102,0.212581103,0.010595019,-0.04014866,-0.030457157,-2.35E-06,-7.04E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.564217308,-1.570468429,1.569553795,-1.571738923,-1.5707964,-2.18E-07
0.104,0.219911486,0.010960364,-0.041533096,-0.031507404,-2.44E-06,-7.28E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.563792146,-1.570447239,1.569473498,-1.571799838,-1.570796405,-2.32E-07
0.106,0.227241869,0.01132571,-0.042917533,-0.03255765,-2.52E-06,-7.52E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.563352323,-1.570425319,1.569390432,-1.571862853,-1.570796409,-2.46E-07
0.108,0.234572251,0.011691055,-0.04430197,-0.033607897,-2.60E-06,-7.77E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.562897839,-1.570402667,1.569304597,-1.571927968,-1.570796414,-2.62E-07
0.11,0.241902634,0.012056401,-0.045686406,-0.034658144,-2.68E-06,-8.01E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.562428695,-1.570379285,1.569215993,-1.571995184,-1.57079642,-2.77E-07
0.112,0.249233017,0.012421746,-0.047070843,-0.035708391,-2.76E-06,-8.25E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.56194489,-1.570355172,1.56912462,-1.5720645,-1.570796425,-2.93E-07
0.114,0.2565634,0.012787092,-0.048455279,-0.036758638,-2.84E-06,-8.50E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.561446424,-1.570330329,1.569030478,-1.572135917,-1.570796431,-3.10E-07
0.116,0.263893783,0.013152437,-0.049839716,-0.037808884,-2.92E-06,-8.74E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.560933297,-1.570304755,1.568933568,-1.572209434,-1.570796436,-3.27E-07
0.118,0.271224166,0.013517783,-0.051224152,-0.038859131,-3.00E-06,-8.98E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.560405509,-1.57027845,1.568833888,-1.572285052,-1.570796442,-3.44E-07
0.12,0.278554549,0.013883128,-0.052608589,-0.039909378,-3.09E-06,-9.22E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.559863061,-1.570251414,1.56873144,-1.57236277,-1.570796448,-3.62E-07
0.122,0.285884931,0.014248474,-0.053993025,-0.040959625,-3.17E-06,-9.47E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.559305952,-1.570223648,1.568626223,-1.572442589,-1.570796454,-3.80E-07
0.124,0.293215314,0.014613819,-0.055377462,-0.042009872,-3.25E-06,-9.71E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.558734182,-1.570195151,1.568518237,-1.572524508,-1.570796461,-3.99E-07
0.126,0.300545697,0.014979165,-0.056761898,-0.043060118,-3.33E-06,-9.95E-06,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.558147751,-1.570165923,1.568407482,-1.572608528,-1.570796467,-4.19E-07
0.128,0.30787608,0.01534451,-0.058146335,-0.044110365,-3.41E-06,-1.02E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.55754666,-1.570135965,1.568293958,-1.572694648,-1.570796474,-4.39E-07
0.13,0.315206463,0.015709856,-0.059530772,-0.045160612,-3.49E-06,-1.04E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.556930908,-1.570105276,1.568177665,-1.572782869,-1.570796481,-4.59E-07
0.132,0.322536846,0.016075201,-0.060915208,-0.046210859,-3.57E-06,-1.07E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.556300495,-1.570073856,1.568058604,-1.57287319,-1.570796488,-4.80E-07
0.134,0.329867229,0.016440547,-0.062299645,-0.047261105,-3.65E-06,-1.09E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.555655421,-1.570041706,1.567936773,-1.572965612,-1.570796495,-5.01E-07
0.136,0.337197611,0.016805892,-0.063684081,-0.048311352,-3.74E-06,-1.12E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.554995687,-1.570008825,1.567812174,-1.573060134,-1.570796502,-5.23E-07
0.138,0.344527994,0.017171238,-0.065068518,-0.049361599,-3.82E-06,-1.14E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.554321292,-1.569975213,1.567684806,-1.573156757,-1.57079651,-5.46E-07
0.14,0.351858377,0.017536583,-0.066452954,-0.050411846,-3.90E-06,-1.17E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.553632236,-1.569940871,1.567554669,-1.57325548,-1.570796517,-5.68E-07
0.142,0.35918876,0.017901928,-0.067837391,-0.051462093,-3.98E-06,-1.19E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.552928519,-1.569905797,1.567421763,-1.573356304,-1.570796525,-5.92E-07
0.144,0.366519143,0.018267274,-0.069221827,-0.052512339,-4.06E-06,-1.21E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.552210141,-1.569869994,1.567286088,-1.573459228,-1.570796533,-6.15E-07
0.146,0.373849526,0.018632619,-0.070606264,-0.053562586,-4.14E-06,-1.24E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.551477103,-1.569833459,1.567147644,-1.573564252,-1.570796541,-6.40E-07
0.148,0.381179909,0.018997965,-0.0719907,-0.054612833,-4.22E-06,-1.26E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.550729404,-1.569796194,1.567006432,-1.573671378,-1.570796549,-6.64E-07
0.15,0.388510291,0.01936331,-0.073375137,-0.05566308,-4.30E-06,-1.29E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.549967044,-1.569758198,1.566862451,-1.573780603,-1.570796558,-6.90E-07
0.152,0.395840674,0.019728656,-0.074759574,-0.056713327,-4.38E-06,-1.31E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.549190024,-1.569719471,1.5667157,-1.573891929,-1.570796566,-7.15E-07
0.154,0.403171057,0.020094001,-0.07614401,-0.057763573,-4.47E-06,-1.33E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.548398342,-1.569680014,1.566566181,-1.574005356,-1.570796575,-7.42E-07
0.156,0.41050144,0.020459347,-0.077528447,-0.05881382,-4.55E-06,-1.36E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.547592,-1.569639826,1.566413893,-1.574120883,-1.570796584,-7.68E-07
0.158,0.417831823,0.020824692,-0.078912883,-0.059864067,-4.63E-06,-1.38E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.546770997,-1.569598907,1.566258836,-1.574238511,-1.570796593,-7.96E-07
0.16,0.425162206,0.021190038,-0.08029732,-0.060914314,-4.71E-06,-1.41E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.545935334,-1.569557258,1.56610101,-1.574358239,-1.570796602,-8.23E-07
0.162,0.432492589,0.021555383,-0.081681756,-0.06196456,-4.79E-06,-1.43E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.545085009,-1.569514878,1.565940416,-1.574480068,-1.570796612,-8.51E-07
0.164,0.439822972,0.021920729,-0.083066193,-0.063014807,-4.87E-06,-1.46E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.544220024,-1.569471767,1.565777052,-1.574603997,-1.570796621,-8.80E-07
0.166,0.447153354,0.022286074,-0.084450629,-0.064065054,-4.95E-06,-1.48E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.543340378,-1.569427926,1.56561092,-1.574730026,-1.570796631,-9.09E-07
0.168,0.454483737,0.02265142,-0.085835066,-0.065115301,-5.03E-06,-1.50E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.542446071,-1.569383353,1.565442019,-1.574858156,-1.570796641,-9.39E-07
0.17,0.46181412,0.023016765,-0.087219502,-0.066165548,-5.12E-06,-1.53E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.541537104,-1.569338051,1.565270349,-1.574988387,-1.570796651,-9.69E-07
0.172,0.469144503,0.023382111,-0.088603939,-0.067215794,-5.20E-06,-1.55E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.540613476,-1.569292017,1.56509591,-1.575120718,-1.570796661,-9.99E-07
0.174,0.476474886,0.023747456,-0.089988376,-0.068266041,-5.28E-06,-1.58E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.539675187,-1.569245253,1.564918702,-1.57525515,-1.570796672,-1.03E-06
0.176,0.483805269,0.024112802,-0.091372812,-0.069316288,-5.36E-06,-1.60E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.538722237,-1.569197758,1.564738725,-1.575391682,-1.570796682,-1.06E-06
0.178,0.491135652,0.024478147,-0.092757249,-0.070366535,-5.44E-06,-1.63E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.537754626,-1.569149532,1.564555979,-1.575530314,-1.570796693,-1.09E-06
0.18,0.498466034,0.024843493,-0.094141685,-0.071416782,-5.52E-06,-1.65E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.536772355,-1.569100576,1.564370465,-1.575671047,-1.570796704,-1.13E-06
0.182,0.505796417,0.025208838,-0.095526122,-0.072467028,-5.60E-06,-1.67E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.535775423,-1.569050889,1.564182181,-1.575813881,-1.570796715,-1.16E-06
0.184,0.5131268,0.025574184,-0.096910558,-0.073517275,-5.68E-06,-1.70E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.53476383,-1.569000471,1.563991129,-1.575958815,-1.570796726,-1.19E-06
0.186,0.520457183,0.025939529,-0.098294995,-0.074567522,-5.77E-06,-1.72E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.533737576,-1.568949323,1.563797308,-1.57610585,-1.570796738,-1.23E-06
0.188,0.527787566,0.026304875,-0.099679431,-0.075617769,-5.85E-06,-1.75E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.532696662,-1.568897444,1.563600718,-1.576254985,-1.570796749,-1.26E-06
0.19,0.535117949,0.02667022,-0.101063868,-0.076668016,-5.93E-06,-1.77E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.531641087,-1.568844834,1.563401359,-1.57640622,-1.570796761,-1.30E-06
0.192,0.542448332,0.027035565,-0.102448305,-0.077718262,-6.01E-06,-1.80E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.530570851,-1.568791494,1.563199231,-1.576559556,-1.570796773,-1.33E-06
0.194,0.549778714,0.027400911,-0.103832741,-0.078768509,-6.09E-06,-1.82E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.529485954,-1.568737423,1.562994335,-1.576714993,-1.570796785,-1.37E-06
0.196,0.557109097,0.027766256,-0.105217178,-0.079818756,-6.17E-06,-1.84E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.528386397,-1.568682621,1.562786669,-1.57687253,-1.570796797,-1.40E-06
0.198,0.56443948,0.028131602,-0.106601614,-0.080869003,-6.25E-06,-1.87E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.527272179,-1.568627088,1.562576235,-1.577032167,-1.570796809,-1.44E-06
0.2,0.571769863,0.028496947,-0.107986051,-0.081919249,-6.33E-06,-1.89E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.5261433,-1.568570825,1.562363032,-1.577193905,-1.570796822,-1.48E-06
0.202,0.579100246,0.028862293,-0.109370487,-0.082969496,-6.41E-06,-1.92E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.52499976,-1.568513831,1.56214706,-1.577357744,-1.570796834,-1.52E-06
0.204,0.586430629,0.029227638,-0.110754924,-0.084019743,-6.50E-06,-1.94E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.52384156,-1.568456107,1.561928319,-1.577523683,-1.570796847,-1.55E-06
0.206,0.593761012,0.029592984,-0.11213936,-0.08506999,-6.58E-06,-1.97E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.522668698,-1.568397651,1.561706809,-1.577691722,-1.57079686,-1.59E-06
0.208,0.601091394,0.029958329,-0.113523797,-0.086120237,-6.66E-06,-1.99E-05,,3.665191429,0.18267274,-0.692218274,-0.525123394,-4.06E-05,-0.000121361,,-1.521481176,-1.568338465,1.56148253,-1.577861862,-1.570796873,-1.63E-06
