time,v1,v2,v3,v4,v5,v6,,a1,a2,a3,a4,a5,a6,,q1,q2,q3,q4,q5,q6,
0.096,0.197920337,0.015686478,-0.059008872,-0.045093409,-3.49E-06,-1.04E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.56502365,-1.570338805,1.569075235,-1.572111551,-1.570796428,-3.04E-07,
0.098,0.20525072,0.016267458,-0.061194386,-0.046763535,-3.62E-06,-1.08E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.56462781,-1.570307432,1.568957217,-1.572201738,-1.570796435,-3.25E-07,
0.1,0.212581103,0.016848439,-0.0633799,-0.048433661,-3.74E-06,-1.12E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.564217308,-1.570274897,1.568834828,-1.572295265,-1.570796443,-3.46E-07,
0.102,0.219911486,0.01742942,-0.065565413,-0.050103787,-3.87E-06,-1.16E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.563792146,-1.5702412,1.568708068,-1.572392132,-1.57079645,-3.69E-07,
0.104,0.227241869,0.0180104,-0.067750927,-0.051773914,-4.00E-06,-1.20E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.563352323,-1.570206341,1.568576938,-1.57249234,-1.570796458,-3.92E-07,
0.106,0.234572251,0.018591381,-0.069936441,-0.05344404,-4.13E-06,-1.24E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.562897839,-1.57017032,1.568441436,-1.572595888,-1.570796466,-4.16E-07,
0.108,0.241902634,0.019172362,-0.072121955,-0.055114166,-4.26E-06,-1.27E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.562428695,-1.570133137,1.568301563,-1.572702776,-1.570796474,-4.41E-07,
0.11,0.249233017,0.019753342,-0.074307469,-0.056784292,-4.39E-06,-1.31E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.561944889,-1.570094793,1.568157319,-1.572813004,-1.570796483,-4.66E-07,
0.112,0.2565634,0.020334323,-0.076492982,-0.058454419,-4.52E-06,-1.35E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.561446423,-1.570055286,1.568008704,-1.572926573,-1.570796492,-4.92E-07,
0.114,0.263893783,0.020915304,-0.078678496,-0.060124545,-4.65E-06,-1.39E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.560933297,-1.570014617,1.567855718,-1.573043482,-1.570796501,-5.19E-07,
0.116,0.271224166,0.021496284,-0.08086401,-0.061794671,-4.78E-06,-1.43E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.560405509,-1.569972787,1.567698361,-1.573163731,-1.57079651,-5.47E-07,
0.118,0.278554549,0.022077265,-0.083049524,-0.063464797,-4.91E-06,-1.47E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.559863061,-1.569929794,1.567536633,-1.57328732,-1.570796519,-5.76E-07,
0.12,0.285884931,0.022658246,-0.085235038,-0.065134924,-5.04E-06,-1.51E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.559305952,-1.56988564,1.567370534,-1.57341425,-1.570796529,-6.05E-07,
0.122,0.293215314,0.023239226,-0.087420551,-0.06680505,-5.17E-06,-1.54E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.558734182,-1.569840323,1.567200064,-1.57354452,-1.570796539,-6.35E-07,
0.124,0.300545697,0.023820207,-0.089606065,-0.068475176,-5.29E-06,-1.58E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.558147751,-1.569793845,1.567025223,-1.57367813,-1.57079655,-6.66E-07,
0.126,0.30787608,0.024401188,-0.091791579,-0.070145302,-5.42E-06,-1.62E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.55754666,-1.569746204,1.566846011,-1.57381508,-1.57079656,-6.98E-07,
0.128,0.315206463,0.024982168,-0.093977093,-0.071815429,-5.55E-06,-1.66E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.556930908,-1.569697402,1.566662427,-1.573955371,-1.570796571,-7.30E-07,
0.13,0.322536846,0.025563149,-0.096162606,-0.073485555,-5.68E-06,-1.70E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.556300495,-1.569647438,1.566474473,-1.574099001,-1.570796582,-7.63E-07,
0.132,0.329867229,0.02614413,-0.09834812,-0.075155681,-5.81E-06,-1.74E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.555655421,-1.569596311,1.566282148,-1.574245973,-1.570796594,-7.97E-07,
0.134,0.337197611,0.02672511,-0.100533634,-0.076825807,-5.94E-06,-1.78E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.554995687,-1.569544023,1.566085452,-1.574396284,-1.570796605,-8.32E-07,
0.136,0.344527994,0.027306091,-0.102719148,-0.078495934,-6.07E-06,-1.81E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.554321291,-1.569490573,1.565884385,-1.574549936,-1.570796617,-8.67E-07,
0.138,0.351858377,0.027887072,-0.104904662,-0.08016606,-6.20E-06,-1.85E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.553632235,-1.569435961,1.565678946,-1.574706927,-1.570796629,-9.04E-07,
0.14,0.35918876,0.028468052,-0.107090175,-0.081836186,-6.33E-06,-1.89E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.552928519,-1.569380186,1.565469137,-1.57486726,-1.570796642,-9.41E-07,
0.142,0.366519143,0.029049033,-0.109275689,-0.083506312,-6.46E-06,-1.93E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.552210141,-1.56932325,1.565254957,-1.575030932,-1.570796654,-9.79E-07,
0.144,0.373849526,0.029630014,-0.111461203,-0.085176438,-6.59E-06,-1.97E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.551477103,-1.569265152,1.565036405,-1.575197945,-1.570796667,-1.02E-06,
0.146,0.381179909,0.030210994,-0.113646717,-0.086846565,-6.71E-06,-2.01E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.550729404,-1.569205892,1.564813483,-1.575368297,-1.57079668,-1.06E-06,
0.148,0.388510291,0.030791975,-0.11583223,-0.088516691,-6.84E-06,-2.05E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.549967044,-1.56914547,1.564586189,-1.575541991,-1.570796694,-1.10E-06,
0.15,0.395840674,0.031372956,-0.118017744,-0.090186817,-6.97E-06,-2.08E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.549190023,-1.569083886,1.564354525,-1.575719024,-1.570796707,-1.14E-06,
0.152,0.403171057,0.031953936,-0.120203258,-0.091856943,-7.10E-06,-2.12E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.548398342,-1.56902114,1.564118489,-1.575899398,-1.570796721,-1.18E-06,
0.154,0.41050144,0.032534917,-0.122388772,-0.09352707,-7.23E-06,-2.16E-05,,3.665191429,0.29049033,-1.092756891,-0.835063123,-6.46E-05,-0.000192992,,-1.547592,-1.568957233,1.563878083,-1.576083111,-1.570796736,-1.22E-06,
0.156,0.417831823,0.033115898,-0.124574286,-0.095197196,-7.36E-06,-2.20E-05,,3.665191429,0.29049033,-1.092756892,-0.835063123,-6.46E-05,-0.000192992,,-1.546770997,-1.568892163,1.563633305,-1.576270166,-1.57079675,-1.27E-06,
0.158,0.425162206,0.033696878,-0.126759799,-0.096867322,-7.49E-06,-2.24E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.545935333,-1.568825931,1.563384157,-1.57646056,-1.570796765,-1.31E-06,
0.16,0.432492589,0.034277859,-0.128945313,-0.098537448,-7.62E-06,-2.28E-05,,3.665191429,0.29049033,-1.092756891,-0.835063122,-6.46E-05,-0.000192992,,-1.545085009,-1.568758537,1.563130637,-1.576654295,-1.57079678,-1.35E-06,
0.162,0.439822972,0.03485884,-0.131130827,-0.100207575,-7.75E-06,-2.32E-05,,3.665191429,0.29049033,-1.092756892,-0.835063122,-6.46E-05,-0.000192992,,-1.544220024,-1.568689981,1.562872747,-1.57685137,-1.570796795,-1.40E-06,
